"logid","userid","logout","login"
1,3,"2024-02-05 16:07:37.719466","2024-02-05 16:07:31.460022"
2,3,"2024-02-05 16:07:46.732147","2024-02-05 16:07:43.783855"
3,3,"2024-02-05 16:09:30.675104","2024-02-05 16:09:23.653165"
4,3,"2024-02-05 16:10:32.382367","2024-02-05 16:09:33.78913"
5,3,"2024-02-05 16:10:37.943383","2024-02-05 16:10:35.273749"
6,3,"2024-02-05 16:18:21.289884","2024-02-05 16:11:30.570094"
7,3,"2024-02-05 16:18:41.937519","2024-02-05 16:18:31.619607"
8,3,"2024-02-05 16:37:20.740481","2024-02-05 16:35:01.804917"
9,3,NULL,"2024-02-05 16:37:25.84428"
10,2,NULL,"2024-02-05 16:42:42.472197"
11,1,"2024-02-06 15:51:38.98359","2024-02-05 16:47:08.243433"
12,1,"2024-02-06 15:52:21.399947","2024-02-06 15:52:14.663735"
