"hotelname","branchlocation","telephone","roomid","branchname","roomdecor","accessibilityfeatures","roomtype","roomview","buildingfloor","bathroom","bedconfiguration","services","roomsize","wifi","maxpeople","smoking","facility","measure","transportation","marketingstrategy","technology"
"City Tower Hotel","Financial District","092-109-8765",1016,"City Tower - Business District","Modern",NULL,"Standard","City View","6th Floor","Private","Double Bed","Room Service",300,True,2,False,NULL,NULL,NULL,NULL,NULL
"City Tower Hotel","Financial District","092-109-8765",1017,"City Tower - Business District","Elegant",NULL,"Standard","Ocean View","3rd Floor","Private","Twin Beds","Concierge",330,True,2,True,NULL,NULL,NULL,NULL,NULL
"City Tower Hotel","Skyline Area","091-098-7654",1018,"City Tower - Skyline View","Classic",NULL,"Standard","Mountain View","4th Floor","Shared","Queen Bed","Housekeeping",270,True,2,False,NULL,NULL,NULL,NULL,NULL
"City Tower Hotel","Skyline Area","091-098-7654",1019,"City Tower - Skyline View","Modern",NULL,"Suite","Lake View","5th Floor","Private","King Bed","Laundry",390,True,4,True,NULL,NULL,NULL,NULL,NULL
"Golden Sands Resort","Coastal Area","094-321-0987",1014,"Golden Sands - Coastal Haven","Classic",NULL,"Suite","Lake View","3rd Floor","Private","King Bed","Laundry",420,True,4,True,NULL,NULL,NULL,NULL,NULL
"Golden Sands Resort","Coastal Area","094-321-0987",1015,"Golden Sands - Coastal Haven","Modern",NULL,"Suite","Garden View","2nd Floor","Private","Bunk Beds","Valet Parking",340,True,4,False,NULL,NULL,NULL,NULL,NULL
"Grand Plaza Hotel","Beachside","012-345-6789",1004,"Grand Plaza - Beachfront","Contemporary",NULL,"Suite","Lake View","4th Floor","Private","King Bed","Laundry",400,True,4,True,NULL,NULL,NULL,NULL,NULL
"Grand Plaza Hotel","Beachside","012-345-6789",1005,"Grand Plaza - Beachfront","Rustic",NULL,"Suite","Garden View","1st Floor","Private","Bunk Beds","Valet Parking",320,True,4,False,NULL,NULL,NULL,NULL,NULL
"Grand Plaza Hotel","City Center","088-234-2435",1001,"Grand Plaza - Downtown","Modern",NULL,"Standard","City View","5th Floor","Private","Double Bed","Room Service",300,True,2,False,NULL,NULL,NULL,NULL,NULL
"Grand Plaza Hotel","City Center","088-234-2435",1002,"Grand Plaza - Downtown","Classic",NULL,"Standard","Ocean View","2nd Floor","Private","Twin Beds","Concierge",350,True,2,True,NULL,NULL,NULL,NULL,NULL
"Grand Plaza Hotel","City Center","088-234-2435",1003,"Grand Plaza - Downtown","Vintage",NULL,"Standard","Mountain View","3rd Floor","Shared","Queen Bed","Housekeeping",280,True,2,False,NULL,NULL,NULL,NULL,NULL
"Grand Plaza Hotel","Mountain Resort","011-234-5678",1006,"Grand Plaza - Mountain View","Minimalist",NULL,"Standard","City View","6th Floor","Private","Double Bed","Room Service",280,True,2,False,NULL,NULL,NULL,NULL,NULL
"Grand Plaza Hotel","Mountain Resort","011-234-5678",1007,"Grand Plaza - Mountain View","Elegant",NULL,"Standard","Ocean View","3rd Floor","Private","Twin Beds","Concierge",330,True,2,True,NULL,NULL,NULL,NULL,NULL
